dataset,split,context,cost,seed,dimensions,final_test_acc,final_test_loss,avg_message_length,final_message_length,result_path
flat,generic,shared,no_cost,2,"D(3,4)",0.9954167008399963,0.00891127809882164,3.9672727274894712,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=generic/context=shared/cost=no_cost/seed=2"
flat,generic,shared,no_cost,2,"D(3,8)",0.9677083492279053,0.13381363451480865,4.0,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=generic/context=shared/cost=no_cost/seed=2"
flat,generic,shared,no_cost,2,"D(4,4)",0.9753125309944153,0.11222133785486221,5.0,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=generic/context=shared/cost=no_cost/seed=2"
flat,generic,shared,no_cost,3,"D(3,4)",1.0,0.000455410685390234,3.9741903376579284,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=generic/context=shared/cost=no_cost/seed=3"
flat,generic,shared,no_cost,3,"D(3,8)",0.9750000238418579,0.2046562284231186,4.0,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=generic/context=shared/cost=no_cost/seed=3"
flat,generic,shared,no_cost,3,"D(4,4)",1.0,0.0001458071346860379,4.999959678649902,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=generic/context=shared/cost=no_cost/seed=3"
flat,generic,shared,no_cost,4,"D(3,4)",0.9783334136009216,0.08455010503530502,3.9849431824684145,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=generic/context=shared/cost=no_cost/seed=4"
flat,generic,shared,no_cost,4,"D(3,8)",0.9643748998641968,0.15809619426727295,4.0,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,8)/dataset=flat/split=generic/context=shared/cost=no_cost/seed=4"
flat,generic,shared,no_cost,4,"D(4,4)",0.9971874952316284,0.030042443424463272,4.999975805282593,5.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(4,4)/dataset=flat/split=generic/context=shared/cost=no_cost/seed=4"
flat,generic,unshared,length_cost,0,"D(3,4)",0.9583333134651184,0.14496555924415588,3.8539772725105284,4.0,"/home/laura/Documents/Uni/Communication and Abstraction/emergent-abstractions-HW2/runs/hier_dataset_matrix/dimensions=D(3,4)/dataset=flat/split=generic/context=unshared/cost=length_cost/seed=0"
